County,Percent,TotalPop,BlackPop,Population
Towns,1.3,11852,154,Under 500
Dade,1.2,16226,195,Under 500
Fannin,0.8,25964,208,Under 500
Union,0.9,24001,216,Under 500
Dawson,0.9,25083,226,Under 500
Echols,5.7,4000,228,Under 500
Glascock,9,2995,270,Under 500
Rabun,1.6,16867,270,Under 500
Pickens,1.2,31980,384,Under 500
Gilmer,1.3,30816,401,Under 500
Murray,1.2,39921,479,Under 500
Banks,2.8,18988,532,"500 to 1,500"
Lumpkin,1.8,32955,593,"500 to 1,500"
White,2,29970,599,"500 to 1,500"
Brantley,3.6,18897,680,"500 to 1,500"
Taliaferro,54.2,1608,872,"500 to 1,500"
Schley,20.1,5236,1052,"500 to 1,500"
Quitman,47.3,2279,1078,"500 to 1,500"
Webster,42.1,2611,1099,"500 to 1,500"
Heard,9.8,11879,1164,"500 to 1,500"
Baker,44.9,3092,1388,"500 to 1,500"
Haralson,4.7,29533,1388,"500 to 1,500"
Atkinson,17.1,8297,1419,"500 to 1,500"
Miller,28.3,5686,1609,"1,500 to 3,500"
Pierce,8.8,19389,1706,"1,500 to 3,500"
Pike,9.3,18634,1733,"1,500 to 3,500"
Clay,60.5,2887,1747,"1,500 to 3,500"
Clinch,27.4,6648,1822,"1,500 to 3,500"
Habersham,4.1,45388,1861,"1,500 to 3,500"
Bacon,16.7,11185,1868,"1,500 to 3,500"
Catoosa,2.9,67420,1955,"1,500 to 3,500"
Oconee,5.3,39272,2081,"1,500 to 3,500"
Berrien,11,19252,2118,"1,500 to 3,500"
Chattahoochee,20.2,10684,2158,"1,500 to 3,500"
Treutlen,31.7,6809,2158,"1,500 to 3,500"
Franklin,9.7,23023,2233,"1,500 to 3,500"
Jeff Davis,15.2,15029,2284,"1,500 to 3,500"
Lanier,22.2,10340,2295,"1,500 to 3,500"
Lincoln,29.1,7915,2303,"1,500 to 3,500"
Montgomery,25.8,9193,2372,"1,500 to 3,500"
Chattooga,10,24790,2479,"1,500 to 3,500"
Gordon,4.4,57685,2538,"1,500 to 3,500"
Crawford,20.8,12318,2562,"1,500 to 3,500"
Oglethorpe,17.2,15054,2589,"1,500 to 3,500"
Irwin,28,9398,2631,"1,500 to 3,500"
Marion,31.7,8351,2647,"1,500 to 3,500"
Candler,24.7,10836,2676,"1,500 to 3,500"
Seminole,32.9,8315,2736,"1,500 to 3,500"
Madison,9.3,29650,2757,"1,500 to 3,500"
Jasper,20,14040,2808,"1,500 to 3,500"
Stephens,11,26035,2864,"1,500 to 3,500"
Wheeler,37.8,7879,2978,"1,500 to 3,500"
Stewart,48.7,6199,3019,"1,500 to 3,500"
Wilcox,34.9,8812,3075,"1,500 to 3,500"
Warren,59,5251,3098,"1,500 to 3,500"
